STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/19/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/20/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/21/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/22/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/23/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/24/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/25/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/26/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/27/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/28/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/29/2020,0.03,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/30/2020,0.06,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",5/31/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/1/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/2/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/3/2020,0.08,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/4/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/5/2020,0.07,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/6/2020,0.03,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/7/2020,0.24,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/8/2020,0.02,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/9/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/10/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/11/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/12/2020,0.62,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/13/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/14/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/15/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/16/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/17/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/18/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/19/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/20/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/22/2020,0.05,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/23/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/24/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/25/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/26/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/27/2020,0.27,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/28/2020,0.03,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/29/2020,1.6,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",6/30/2020,0.14,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/1/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/2/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/3/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/4/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/5/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/6/2020,0.17,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/7/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/8/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/9/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/10/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/11/2020,0.03,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/12/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/13/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/14/2020,0.17,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/15/2020,0.03,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/16/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/17/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/18/2020,0.22,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/19/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/20/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/21/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/22/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/23/2020,0.25,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/24/2020,0.26,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/25/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/26/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/27/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/29/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/30/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",7/31/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/1/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/2/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/3/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/4/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/5/2020,0.13,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/6/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/7/2020,0,,,
