,Northern,Southern,North_avg,South_avg
2020-07-27,0.0,0.0,0.0,0.0
2020-07-28,24.0,21.0,19.0,29.0
2020-07-29,0.0,0.0,0.0,0.0
2020-07-30,24.0,66.0,21.0,36.0
2020-07-31,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0
2020-08-02,90.0,89.0,32.0,44.0
2020-08-03,61.0,0.0,39.0,46.0
2020-08-04,54.0,35.0,46.0,47.0
2020-08-05,22.0,39.0,46.0,50.0
2020-08-06,17.0,34.0,44.0,53.0
2020-08-07,0.0,0.0,0.0,0.0
2020-08-08,0.0,0.0,0.0,0.0
2020-08-09,35.0,52.0,46.0,50.0
2020-08-10,0.0,0.0,0.0,0.0
2020-08-11,22.0,48.0,35.0,42.0
2020-08-12,0.0,0.0,0.0,0.0
2020-08-13,15.0,38.0,28.0,41.0
2020-08-14,0.0,0.0,0.0,0.0
2020-08-15,0.0,0.0,0.0,0.0
2020-08-16,22.0,37.0,22.0,41.0
2020-08-17,0.0,0.0,0.0,0.0
2020-08-18,42.0,73.0,26.0,47.0
2020-08-19,0.0,0.0,0.0,0.0
2020-08-20,29.0,50.0,28.0,50.0
2020-08-21,0.0,0.0,0.0,0.0
2020-08-22,0.0,0.0,0.0,0.0
2020-08-23,18.0,32.0,25.0,46.0
2020-08-24,0.0,0.0,0.0,0.0
2020-08-25,27.0,41.0,25.0,45.0
2020-08-26,0.0,0.0,0.0,0.0
2020-08-27,32.0,50.0,28.0,47.0
2020-08-28,0.0,0.0,0.0,0.0
2020-08-29,0.0,0.0,0.0,0.0
2020-08-30,40.0,52.0,31.0,50.0
